language,sentiment,ngram,freq
de,bad,flasche wasser zimmer,7
de,bad,schlafen offen fenster,6
de,bad,op de kamer,4
de,bad,hotel parkplatz parkhaus,4
de,bad,wasserkocher kaffeemaschine zimmer,3
de,bad,parkplatz parkhaus nähe,3
de,bad,zimmer straße zimmer,2
de,bad,straße geöffnet fenster,2
de,bad,zimmer etage zimmer,2
de,bad,etage zimmer personal,2
de,bad,zimmer personal rezeption,2
de,bad,zimmer flasche wasser,2
de,bad,zimmer schlafen offen,2
de,bad,offen fenster nacht,2
de,bad,bett persönlich empfinden,2
de,bad,geschlossen fenster problem,2
de,bad,potsdamer platz fuß,2
de,bad,zimmer geöffnet fenster,2
de,bad,name potsdamer platz,2
de,bad,onder het bed,2
