language,sentiment,ngram,freq
en,bad,tea coffee facility,9
en,bad,coffee facility room,7
en,bad,coffee maker room,3
en,bad,tea facility room,2
en,bad,mini fridge room,2
en,bad,tea coffee room,2
en,bad,coffee machine room,2
en,bad,parking lot hotel,2
en,bad,english language tv,2
en,bad,cup tea bag,2
en,bad,water bottle room,2
en,bad,het hotel maar,2
en,bad,bottle water room,2
en,bad,air conditioning room,2
en,bad,room comfortable temperature,2
en,bad,comfortable temperature night,2
en,bad,water room great,1
en,bad,room great cheap,1
en,bad,great cheap bonus,1
en,bad,cheap bonus guest,1
