language,sentiment,ngram,freq
de,good,lage potsdamer platz,38
de,good,lage freundlich personal,34
de,good,nähe potsdamer platz,33
de,good,freundlich personal frühstück,19
de,good,freundlich hilfsbereit personal,18
de,good,hotel potsdamer platz,16
de,good,lage nett personal,16
de,good,freundlich zuvorkommend personal,15
de,good,frühstück freundlich personal,14
de,good,fuß potsdamer platz,13
de,good,super freundlich personal,13
de,good,zimmer freundlich personal,12
de,good,freundlich personal toll,12
de,good,frühstück nett personal,12
de,good,lage nähe potsdamer,12
de,good,lage schön zimmer,10
de,good,freundlich personal schön,10
de,good,freundlich personal restaurant,10
de,good,minute potsdamer platz,10
de,good,zimmer nett personal,9
