language,sentiment,ngram,freq
fr,good,rapport qualité prix,7
fr,good,fermata della metro,6
fr,good,bon petit déjeuner,5
fr,good,vicino potsdamer platz,3
fr,good,potsdamer platz min,3
fr,good,relación calidad precio,2
fr,good,personnel petit déjeuner,2
fr,good,petit déjeuner varier,2
fr,good,calme rapport qualité,2
fr,good,petit varier chambre,2
fr,good,atención del personal,2
fr,good,bardzo dobra lokalizacja,2
fr,good,baśni braci grimm,2
fr,good,mendelssohn bartholdy park,2
fr,good,personal molto gentile,2
fr,good,ottimo qualità prezzo,2
fr,good,desayuno personal amabl,2
fr,good,chambre grand propre,2
fr,good,bon rapport qualité,2
fr,good,bel chambre confortable,2
