language,sentiment,ngram,freq
de,bad,flasche wasser zimmer,7
de,bad,schlafen offen fenster,6
de,bad,op de kamer,4
de,bad,hotel parkplatz parkhaus,4
de,bad,wasserkocher kaffeemaschine zimmer,3
de,bad,parkplatz parkhaus nähe,3
de,bad,zimmer straße zimmer,2
de,bad,straße geöffnet fenster,2
de,bad,zimmer etage zimmer,2
de,bad,etage zimmer personal,2
de,bad,zimmer personal rezeption,2
de,bad,zimmer flasche wasser,2
de,bad,zimmer schlafen offen,2
de,bad,offen fenster nacht,2
de,bad,bett persönlich empfinden,2
de,bad,geschlossen fenster problem,2
de,bad,potsdamer platz fuß,2
de,bad,zimmer geöffnet fenster,2
de,bad,name potsdamer platz,2
de,bad,onder het bed,2
de,good,lage potsdamer platz,38
de,good,lage freundlich personal,34
de,good,nähe potsdamer platz,33
de,good,freundlich personal frühstück,19
de,good,freundlich hilfsbereit personal,18
de,good,hotel potsdamer platz,16
de,good,lage nett personal,16
de,good,freundlich zuvorkommend personal,15
de,good,frühstück freundlich personal,14
de,good,fuß potsdamer platz,13
de,good,super freundlich personal,13
de,good,zimmer freundlich personal,12
de,good,freundlich personal toll,12
de,good,frühstück nett personal,12
de,good,lage nähe potsdamer,12
de,good,lage schön zimmer,10
de,good,freundlich personal schön,10
de,good,freundlich personal restaurant,10
de,good,minute potsdamer platz,10
de,good,zimmer nett personal,9
en,bad,tea coffee facility,9
en,bad,coffee facility room,7
en,bad,coffee maker room,3
en,bad,tea facility room,2
en,bad,mini fridge room,2
en,bad,tea coffee room,2
en,bad,coffee machine room,2
en,bad,parking lot hotel,2
en,bad,english language tv,2
en,bad,cup tea bag,2
en,bad,water bottle room,2
en,bad,het hotel maar,2
en,bad,bottle water room,2
en,bad,air conditioning room,2
en,bad,room comfortable temperature,2
en,bad,comfortable temperature night,2
en,bad,water room great,1
en,bad,room great cheap,1
en,bad,great cheap bonus,1
en,bad,cheap bonus guest,1
en,good,friendly helpful staff,10
en,good,staff friendly helpful,10
en,good,good value money,8
en,good,location friendly staff,7
en,good,nice clean room,7
en,good,room friendly staff,7
en,good,clean staff friendly,6
en,good,staff helpful friendly,6
en,good,friendly staff good,6
en,good,hotel good location,5
en,good,location close metro,4
en,good,good location nice,4
en,good,good breakfast good,4
en,good,great location nice,4
en,good,room clean spacious,4
en,good,location clean room,4
en,good,staff good breakfast,4
en,good,hotel friendly staff,4
en,good,staff kind helpful,4
en,good,breakfast good location,4
fr,bad,bouteille eau chambre,2
fr,bad,habitación poco pequeña,2
fr,bad,no oferta bar,1
fr,bad,oferta bar restaurante,1
fr,bad,bar restaurante habitacione,1
fr,bad,ajout petit minibar,1
fr,bad,petit minibar chambre,1
fr,bad,minibar chambre cas,1
fr,bad,chambre cas élément,1
fr,bad,cas élément frais,1
fr,bad,élément frais aliment,1
fr,bad,frais aliment animal,1
fr,bad,aliment animal compagnie,1
fr,bad,animal compagnie médicament,1
fr,bad,byłoby świetnie gdyby,1
fr,bad,świetnie gdyby plac,1
fr,bad,gdyby plac obok,1
fr,bad,plac obok było,1
fr,bad,obok było parking,1
fr,bad,było parking jednak,1
fr,good,rapport qualité prix,7
fr,good,fermata della metro,6
fr,good,bon petit déjeuner,5
fr,good,vicino potsdamer platz,3
fr,good,potsdamer platz min,3
fr,good,relación calidad precio,2
fr,good,personnel petit déjeuner,2
fr,good,petit déjeuner varier,2
fr,good,calme rapport qualité,2
fr,good,petit varier chambre,2
fr,good,atención del personal,2
fr,good,bardzo dobra lokalizacja,2
fr,good,baśni braci grimm,2
fr,good,mendelssohn bartholdy park,2
fr,good,personal molto gentile,2
fr,good,ottimo qualità prezzo,2
fr,good,desayuno personal amabl,2
fr,good,chambre grand propre,2
fr,good,bon rapport qualité,2
fr,good,bel chambre confortable,2
