language,sentiment,ngram,freq
de,bad,klein kind hotel,2
de,bad,zimmer privat pool,2
de,bad,junior suite meerblick,2
de,bad,op de kamer,2
de,bad,lautsprecher abendshow grenze,1
de,bad,abendshow grenze ohr,1
de,bad,grenze ohr animation,1
de,bad,ohr animation international,1
de,bad,animation international sprache,1
de,bad,international sprache termin,1
de,bad,sprache termin buchung,1
de,bad,termin buchung spa,1
de,bad,buchung spa hauptsaison,1
de,bad,spa hauptsaison spa,1
de,bad,hauptsaison spa wlan,1
de,bad,spa wlan essen,1
de,bad,parkplatz hotel zufahrt,1
de,bad,hotel zufahrt ebene,1
de,bad,zufahrt ebene unterer,1
de,bad,ebene unterer bereich,1
