language,sentiment,ngram,freq
de,bad,klein kind hotel,2
de,bad,zimmer privat pool,2
de,bad,junior suite meerblick,2
de,bad,op de kamer,2
de,bad,lautsprecher abendshow grenze,1
de,bad,abendshow grenze ohr,1
de,bad,grenze ohr animation,1
de,bad,ohr animation international,1
de,bad,animation international sprache,1
de,bad,international sprache termin,1
de,bad,sprache termin buchung,1
de,bad,termin buchung spa,1
de,bad,buchung spa hauptsaison,1
de,bad,spa hauptsaison spa,1
de,bad,hauptsaison spa wlan,1
de,bad,spa wlan essen,1
de,bad,parkplatz hotel zufahrt,1
de,bad,hotel zufahrt ebene,1
de,bad,zufahrt ebene unterer,1
de,bad,ebene unterer bereich,1
de,good,freundlich personal essen,2
de,good,aussicht meer essen,2
de,good,freundlich personal schön,2
de,good,nett personal essen,2
de,good,zimmer pool essen,2
de,good,lage pool strand,2
de,good,zimmer eigen pool,2
de,good,één van de,2
de,good,essen freundlich personal,2
de,good,zimmer kostenlos upgrade,1
de,good,kostenlos upgrade zimmer,1
de,good,upgrade zimmer meerblick,1
de,good,zimmer meerblick eigen,1
de,good,meerblick eigen privatpool,1
de,good,eigen privatpool zimmer,1
de,good,privatpool zimmer meer,1
de,good,zimmer meer trubel,1
de,good,meer trubel restaurant,1
de,good,trubel restaurant pool,1
de,good,restaurant pool bett,1
en,bad,salt water pool,5
en,bad,hotel private beach,3
en,bad,animation team french,3
en,bad,entertainment french weird,2
en,bad,air conditioning room,2
en,bad,food quality good,2
en,bad,beach bar cocktail,2
en,bad,room main pool,2
en,bad,bar inclusive package,2
en,bad,room star hotel,2
en,bad,star hotel inclusive,2
en,bad,room beach towel,2
en,bad,sea water pool,2
en,bad,main swimming pool,2
en,bad,swimming pool small,2
en,bad,small toddler pool,2
en,bad,non french speaker,2
en,bad,main pool restaurant,2
en,bad,great tennis court,2
en,bad,drink beach bar,2
en,good,room sea view,14
en,good,sea view room,11
en,good,staff friendly helpful,11
en,good,salt water pool,7
en,good,staff helpful friendly,6
en,good,food good variety,5
en,good,crystal clear water,5
en,good,room private pool,5
en,good,breakfast lunch dinner,5
en,good,view room great,4
en,good,location stunning view,4
en,good,good value money,4
en,good,room spacious comfortable,4
en,good,location great view,4
en,good,staff friendly room,4
en,good,room spacious great,3
en,good,pool sea water,3
en,good,great sea view,3
en,good,staff nice helpful,3
en,good,beach swimming pool,3
fr,bad,salle bain petit,4
fr,bad,qualité cocktail all,3
fr,bad,cocktail all inclusif,2
fr,bad,all inclusif mauvais,2
fr,bad,all inclusif boisson,2
fr,bad,bon vin bon,2
fr,bad,douche côté piscine,2
fr,bad,toilette salle bain,2
fr,bad,all in décevant,2
fr,bad,plein mois juillet,2
fr,bad,alcool all inclusif,2
fr,bad,rangement salle bain,2
fr,bad,boisson all inclusif,2
fr,bad,buffet soirée animation,1
fr,bad,soirée animation ambiance,1
fr,bad,animation ambiance playlist,1
fr,bad,ambiance playlist clientèle,1
fr,bad,playlist clientèle jeune,1
fr,bad,hôtel colline escalier,1
fr,bad,colline escalier jour,1
fr,good,rapport qualité prix,7
fr,good,piscine eau mer,6
fr,good,buffet varier bon,5
fr,good,bon rapport qualité,5
fr,good,personnel petit soin,4
fr,good,chambre spacieux propre,3
fr,good,vue chambre propre,2
fr,good,hôtel oeil fermé,2
fr,good,activité proximité quad,2
fr,good,chambre piscine vue,2
fr,good,chambre familial vue,2
fr,good,familial vue chambre,2
fr,good,réactif cas besoin,2
fr,good,chambre spacieux vue,2
fr,good,bel vue mer,2
fr,good,hôtel petit déjeuner,2
fr,good,vue chambre repas,2
fr,good,chambre amabilité personnel,2
fr,good,emplacement vue superbe,2
fr,good,chambre spacieux confortable,2
